metricId, name, subGroup, subMetricName, capabilityName, timestamp, value, unit
4648,Memory Usage %,,,Memory,13333443618144,19.988962,%
4648,Memory Usage %,,,Memory,13333643668904,19.988447,%
4648,Memory Usage %,,,Memory,13333844770324,19.994120,%
4648,Memory Usage %,,,Memory,13334045509616,19.994120,%
4616,CPU Total Load,,,CPU,13333682511396,94.322418,%
4696,CPU Effective Utilization,,,CPU,13333682511396,94.322418,%
4616,CPU Total Load,,,CPU,13333883487652,94.572800,%
4696,CPU Effective Utilization,,,CPU,13333883487652,94.572800,%
4648,Memory Usage %,,,Memory,13334247626960,19.995186,%
4648,Memory Usage %,,,Memory,13334448176140,19.993296,%
4616,CPU Total Load,,,CPU,13334084326940,94.604538,%
4696,CPU Effective Utilization,,,CPU,13334084326940,94.604538,%
4616,CPU Total Load,,,CPU,13334286315896,94.874306,%
4696,CPU Effective Utilization,,,CPU,13334286315896,94.874306,%
4616,CPU Total Load,,,CPU,13334487218416,94.921913,%
4696,CPU Effective Utilization,,,CPU,13334487218416,94.921913,%
4616,CPU Total Load,,,CPU,13334687820480,93.969772,%
4696,CPU Effective Utilization,,,CPU,13334687820480,93.969772,%
4648,Memory Usage %,,,Memory,13334649248908,19.993227,%
4648,Memory Usage %,,,Memory,13334850123764,19.993193,%
4648,Memory Usage %,,,Memory,13335050941108,19.994257,%
4648,Memory Usage %,,,Memory,13335251377292,19.993433,%
4616,CPU Total Load,,,CPU,13334888677084,95.979851,%
4696,CPU Effective Utilization,,,CPU,13334888677084,95.979851,%
4616,CPU Total Load,,,CPU,13335090357108,93.969772,%
4696,CPU Effective Utilization,,,CPU,13335090357108,93.969772,%
4616,CPU Total Load,,,CPU,13335291219172,94.921913,%
4696,CPU Effective Utilization,,,CPU,13335291219172,94.921913,%
4616,CPU Total Load,,,CPU,13335491783900,94.639801,%
4696,CPU Effective Utilization,,,CPU,13335491783900,94.639801,%
4648,Memory Usage %,,,Memory,13335452685932,19.995565,%
4648,Memory Usage %,,,Memory,13335652803668,20.009869,%
4648,Memory Usage %,,,Memory,13335853598288,20.012241,%
4648,Memory Usage %,,,Memory,13336054134832,20.027611,%
4616,CPU Total Load,,,CPU,13335692693336,94.874306,%
4696,CPU Effective Utilization,,,CPU,13335692693336,94.874306,%
4616,CPU Total Load,,,CPU,13335894096824,95.118385,%
4696,CPU Effective Utilization,,,CPU,13335894096824,95.118385,%
4648,Memory Usage %,,,Memory,13336254872668,20.116631,%
4648,Memory Usage %,,,Memory,13336455505776,20.132000,%
4616,CPU Total Load,,,CPU,13336094827120,94.921913,%
4696,CPU Effective Utilization,,,CPU,13336094827120,94.921913,%
4616,CPU Total Load,,,CPU,13336296355460,95.854836,%
4696,CPU Effective Utilization,,,CPU,13336296355460,95.854836,%
4648,Memory Usage %,,,Memory,13336655876544,20.139942,%
4648,Memory Usage %,,,Memory,13336856497328,20.138842,%
4616,CPU Total Load,,,CPU,13336497182632,94.921913,%
4696,CPU Effective Utilization,,,CPU,13336497182632,94.921913,%
4616,CPU Total Load,,,CPU,13336697498592,94.572800,%
4696,CPU Effective Utilization,,,CPU,13336697498592,94.572800,%
4648,Memory Usage %,,,Memory,13337057983808,20.136917,%
4648,Memory Usage %,,,Memory,13337258988508,20.134750,%
4616,CPU Total Load,,,CPU,13336898487328,94.639801,%
4696,CPU Effective Utilization,,,CPU,13336898487328,94.639801,%
4616,CPU Total Load,,,CPU,13337099895600,94.874306,%
4696,CPU Effective Utilization,,,CPU,13337099895600,94.874306,%
4616,CPU Total Load,,,CPU,13337301717116,94.874306,%
4696,CPU Effective Utilization,,,CPU,13337301717116,94.874306,%
4616,CPU Total Load,,,CPU,13337503138128,94.572800,%
4696,CPU Effective Utilization,,,CPU,13337503138128,94.572800,%
4648,Memory Usage %,,,Memory,13337459852964,20.132549,%
4648,Memory Usage %,,,Memory,13337660364444,20.131449,%
4648,Memory Usage %,,,Memory,13337861627480,20.166899,%
4648,Memory Usage %,,,Memory,13338062169224,20.168240,%
4683,VSS,,init,Process Memory,13333681287888,82256.000000,KB
4684,PSS,,init,Process Memory,13333681287888,3.000000,KB
4685,RSS,,init,Process Memory,13333681287888,0.000000,KB
4686,USS,,init,Process Memory,13333681287888,0.000000,KB
4683,VSS,,kthreadd,Process Memory,13333681287888,0.000000,KB
4684,PSS,,kthreadd,Process Memory,13333681287888,0.000000,KB
4685,RSS,,kthreadd,Process Memory,13333681287888,0.000000,KB
4686,USS,,kthreadd,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_gp,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_gp,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_gp,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_gp,Process Memory,13333681287888,0.000000,KB
4683,VSS,,slub_flushwq,Process Memory,13333681287888,0.000000,KB
4684,PSS,,slub_flushwq,Process Memory,13333681287888,0.000000,KB
4685,RSS,,slub_flushwq,Process Memory,13333681287888,0.000000,KB
4686,USS,,slub_flushwq,Process Memory,13333681287888,0.000000,KB
4683,VSS,,netns,Process Memory,13333681287888,0.000000,KB
4684,PSS,,netns,Process Memory,13333681287888,0.000000,KB
4685,RSS,,netns,Process Memory,13333681287888,0.000000,KB
4686,USS,,netns,Process Memory,13333681287888,0.000000,KB
4683,VSS,,mm_percpu_wq,Process Memory,13333681287888,0.000000,KB
4684,PSS,,mm_percpu_wq,Process Memory,13333681287888,0.000000,KB
4685,RSS,,mm_percpu_wq,Process Memory,13333681287888,0.000000,KB
4686,USS,,mm_percpu_wq,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_tasks_kthread,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_tasks_kthread,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_tasks_kthread,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_tasks_kthread,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_tasks_trace_kthread,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_tasks_trace_kthread,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_tasks_trace_kthread,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_tasks_trace_kthread,Process Memory,13333681287888,0.000000,KB
4683,VSS,,ksoftirqd/0,Process Memory,13333681287888,0.000000,KB
4684,PSS,,ksoftirqd/0,Process Memory,13333681287888,0.000000,KB
4685,RSS,,ksoftirqd/0,Process Memory,13333681287888,0.000000,KB
4686,USS,,ksoftirqd/0,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_preempt,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_preempt,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_preempt,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_preempt,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcuog/0,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcuog/0,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcuog/0,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcuog/0,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcuop/0,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcuop/0,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcuop/0,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcuop/0,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcub/0,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcub/0,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcub/0,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcub/0,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_exp_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_exp_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_exp_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_exp_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4683,VSS,,rcu_exp_par_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4684,PSS,,rcu_exp_par_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4685,RSS,,rcu_exp_par_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
4686,USS,,rcu_exp_par_gp_kthread_worker,Process Memory,13333681287888,0.000000,KB
